feature_name,feature_group,source_table,source_column,join_rule,feature_label_ko,feature_description_ko,feature_group_ko
mkt_logret_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 전 값입니다.,시장 내부
mkt_logret_mean_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 20일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 20일 이동평균입니다.,시장 내부
mkt_logret_mean_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 5일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 5일 이동평균입니다.,시장 내부
mkt_logret_mean_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 이동평균입니다.,시장 내부
mkt_logret_vol_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 20일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 20일 이동 변동성입니다.,시장 내부
mkt_logret_vol_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 5일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 5일 이동 변동성입니다.,시장 내부
mkt_logret_vol_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 이동 변동성입니다.,시장 내부
mkt_market_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP,시장 VWAP 타겟 데이터에서 계산한 시장 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_market_vwap_lag_1d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_1d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 1일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 1일 전 값입니다.,시장 내부
mkt_market_vwap_lag_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 20일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 20일 전 값입니다.,시장 내부
mkt_market_vwap_lag_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 5일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 5일 전 값입니다.,시장 내부
mkt_market_vwap_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 60일 전 값입니다.,시장 내부
mkt_max_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_max_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,일별 최고 빈티지 VWAP,시장 VWAP 타겟 데이터에서 계산한 일별 최고 빈티지 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_min_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_min_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,일별 최저 빈티지 VWAP,시장 VWAP 타겟 데이터에서 계산한 일별 최저 빈티지 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_n_vintages,market_internal,data.processed.targets.market_vwap_targets,mkt_n_vintages,target 기준일 자체 또는 기준일 이전 rolling/lag,거래 빈티지 수,시장 VWAP 타겟 데이터에서 계산한 거래 빈티지 수입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdval,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdval,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래대금,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래대금입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdval_log1p,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdval_log1p,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래대금 로그값,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래대금 로그값입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdvol,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdvol,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래량,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래량입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdvol_log1p,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdvol_log1p,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래량 로그값,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래량 로그값입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_volume_lag_1d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_1d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 1일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 1일 전 값입니다.,시장 내부
mkt_volume_lag_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 전 값입니다.,시장 내부
mkt_volume_lag_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 전 값입니다.,시장 내부
mkt_volume_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 전 값입니다.,시장 내부
mkt_volume_mean_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 이동평균입니다.,시장 내부
mkt_volume_mean_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 이동평균입니다.,시장 내부
mkt_volume_mean_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 이동평균입니다.,시장 내부
mkt_volume_std_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 이동 표준편차입니다.,시장 내부
mkt_volume_std_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 이동 표준편차입니다.,시장 내부
mkt_volume_std_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 이동 표준편차입니다.,시장 내부
mkt_vwap_range,market_internal,data.processed.targets.market_vwap_targets,mkt_vwap_range,target 기준일 자체 또는 기준일 이전 rolling/lag,빈티지 간 VWAP 범위,시장 VWAP 타겟 데이터에서 계산한 빈티지 간 VWAP 범위입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
epsis_fuel_cost_monthly__fuel_cost_anthracite_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_anthracite_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(무연탄),raw.epsis_fuel_cost_monthly의 `fuel_cost_anthracite_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_bituminous_coal_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_bituminous_coal_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(유연탄),raw.epsis_fuel_cost_monthly의 `fuel_cost_bituminous_coal_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_lng_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_lng_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(LNG),raw.epsis_fuel_cost_monthly의 `fuel_cost_lng_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_nuclear_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_nuclear_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(원자력),raw.epsis_fuel_cost_monthly의 `fuel_cost_nuclear_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_oil_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_oil_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(유류),raw.epsis_fuel_cost_monthly의 `fuel_cost_oil_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_anthracite_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_anthracite_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(무연탄),raw.epsis_fuel_cost_monthly의 `fuel_price_anthracite_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_bituminous_coal_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_bituminous_coal_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(유연탄),raw.epsis_fuel_cost_monthly의 `fuel_price_bituminous_coal_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_lng_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_lng_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(LNG),raw.epsis_fuel_cost_monthly의 `fuel_price_lng_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_nuclear_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_nuclear_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(원자력),raw.epsis_fuel_cost_monthly의 `fuel_price_nuclear_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_oil_krw_per_kl,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_oil_krw_per_kl,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(유류),raw.epsis_fuel_cost_monthly의 `fuel_price_oil_krw_per_kl` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_anthracite_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_anthracite_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(무연탄),raw.epsis_fuel_cost_monthly의 `heat_price_anthracite_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_bituminous_coal_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_bituminous_coal_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(유연탄),raw.epsis_fuel_cost_monthly의 `heat_price_bituminous_coal_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_lng_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_lng_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(LNG),raw.epsis_fuel_cost_monthly의 `heat_price_lng_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_nuclear_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_nuclear_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(원자력),raw.epsis_fuel_cost_monthly의 `heat_price_nuclear_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_oil_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_oil_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(유류),raw.epsis_fuel_cost_monthly의 `heat_price_oil_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__day,power_epsis,raw.epsis_power_supply_daily,day,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 일자 보조값,raw.epsis_power_supply_daily의 `day` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__installed_capacity_mw,power_epsis,raw.epsis_power_supply_daily,installed_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 설비용량(MW),raw.epsis_power_supply_daily의 `installed_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__minimum_demand_mw,power_epsis,raw.epsis_power_supply_daily,minimum_demand_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 최저수요(MW),raw.epsis_power_supply_daily의 `minimum_demand_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__peak_demand_mw,power_epsis,raw.epsis_power_supply_daily,peak_demand_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 최대수요(MW),raw.epsis_power_supply_daily의 `peak_demand_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__reserve_capacity_mw,power_epsis,raw.epsis_power_supply_daily,reserve_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급예비력(MW),raw.epsis_power_supply_daily의 `reserve_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__reserve_margin_pct,power_epsis,raw.epsis_power_supply_daily,reserve_margin_pct,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급예비율(%),raw.epsis_power_supply_daily의 `reserve_margin_pct` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__supply_capacity_mw,power_epsis,raw.epsis_power_supply_daily,supply_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급능력(MW),raw.epsis_power_supply_daily의 `supply_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_anthracite_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_anthracite_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(무연탄),raw.epsis_power_trade_volume_monthly의 `trade_volume_anthracite_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
